trial,model_type,hidden_channels,num_layers,lr,batch_size,epochs,early_stopping,dropout,val_loss
205,GIN,128,6,0.001,8,1000,30,0.2,193.93796722412108
206,GIN,128,6,0.001,8,1000,30,0.5,239.610908203125
207,GAT,128,6,0.001,8,1000,30,0.2,90.96987213134766
208,GAT,128,6,0.001,8,1000,30,0.5,91.01255676269531
209,GIN,128,6,0.001,16,1000,30,0.2,90.27019439697266
210,GIN,128,6,0.001,16,1000,30,0.5,91.76809753417969
211,GAT,128,6,0.001,16,1000,30,0.2,90.80162841796874
212,GAT,128,6,0.001,16,1000,30,0.5,90.84706665039063
213,GIN,128,6,0.001,32,1000,30,0.2,76.98192932128906
214,GIN,128,6,0.001,32,1000,30,0.5,74.53615539550782
215,GAT,128,6,0.001,32,1000,30,0.2,90.77009704589844
216,GAT,128,6,0.001,32,1000,30,0.5,90.76818878173827
217,GIN,256,4,0.0001,8,1000,30,0.2,118.52753173828125
218,GIN,256,4,0.0001,8,1000,30,0.5,144.6437661743164
219,GAT,256,4,0.0001,8,1000,30,0.2,90.77651458740235
220,GAT,256,4,0.0001,8,1000,30,0.5,90.93358459472657
221,GIN,256,4,0.0001,16,1000,30,0.2,80.19038940429688
222,GIN,256,4,0.0001,16,1000,30,0.5,78.6966632080078
223,GAT,256,4,0.0001,16,1000,30,0.2,90.7671826171875
224,GAT,256,4,0.0001,16,1000,30,0.5,90.75158325195312
225,GIN,256,4,0.0001,32,1000,30,0.2,75.7056088256836
226,GIN,256,4,0.0001,32,1000,30,0.5,77.4138394165039
227,GAT,256,4,0.0001,32,1000,30,0.2,90.77875671386718
228,GAT,256,4,0.0001,32,1000,30,0.5,90.81633544921876
229,GIN,256,4,0.0003,8,1000,30,0.2,126.95746551513672
230,GIN,256,4,0.0003,8,1000,30,0.5,106.32073822021485
231,GAT,256,4,0.0003,8,1000,30,0.2,90.9056610107422
232,GAT,256,4,0.0003,8,1000,30,0.5,90.86331390380859
233,GIN,256,4,0.0003,16,1000,30,0.2,79.54461975097657
234,GIN,256,4,0.0003,16,1000,30,0.5,80.2721517944336
235,GAT,256,4,0.0003,16,1000,30,0.2,74.44052368164063
236,GAT,256,4,0.0003,16,1000,30,0.5,90.81774597167968
237,GIN,256,4,0.0003,32,1000,30,0.2,77.50515197753906
238,GIN,256,4,0.0003,32,1000,30,0.5,77.18164978027343
239,GAT,256,4,0.0003,32,1000,30,0.2,90.76500427246094
240,GAT,256,4,0.0003,32,1000,30,0.5,90.79634887695312
241,GIN,256,4,0.001,8,1000,30,0.2,95.64001434326173
242,GIN,256,4,0.001,8,1000,30,0.5,97.35603179931641
243,GAT,256,4,0.001,8,1000,30,0.2,90.6160498046875
244,GAT,256,4,0.001,8,1000,30,0.5,92.91991607666016
245,GIN,256,4,0.001,16,1000,30,0.2,79.99429656982421
246,GIN,256,4,0.001,16,1000,30,0.5,80.50173400878906
247,GAT,256,4,0.001,16,1000,30,0.2,91.04075897216796
248,GAT,256,4,0.001,16,1000,30,0.5,93.38521362304688
249,GIN,256,4,0.001,32,1000,30,0.2,75.84370239257812
250,GIN,256,4,0.001,32,1000,30,0.5,76.44545166015625
251,GAT,256,4,0.001,32,1000,30,0.2,84.93720153808594
252,GAT,256,4,0.001,32,1000,30,0.5,90.80587341308593
253,GIN,256,5,0.0001,8,1000,30,0.2,137.6299282836914
254,GIN,256,5,0.0001,8,1000,30,0.5,191.14343200683595
255,GAT,256,5,0.0001,8,1000,30,0.2,90.89973052978516
256,GAT,256,5,0.0001,8,1000,30,0.5,90.93906768798828
257,GIN,256,5,0.0001,16,1000,30,0.2,82.84662292480469
258,GIN,256,5,0.0001,16,1000,30,0.5,88.89386901855468
259,GAT,256,5,0.0001,16,1000,30,0.2,90.75936614990235
260,GAT,256,5,0.0001,16,1000,30,0.5,91.0328125
261,GIN,256,5,0.0001,32,1000,30,0.2,77.38002197265625
262,GIN,256,5,0.0001,32,1000,30,0.5,77.52959075927734
263,GAT,256,5,0.0001,32,1000,30,0.2,90.81150360107422
264,GAT,256,5,0.0001,32,1000,30,0.5,90.91528106689454
265,GIN,256,5,0.0003,8,1000,30,0.2,124.508837890625
266,GIN,256,5,0.0003,8,1000,30,0.5,129.09207946777343
267,GAT,256,5,0.0003,8,1000,30,0.2,90.83497467041016
268,GAT,256,5,0.0003,8,1000,30,0.5,91.12469909667969
269,GIN,256,5,0.0003,16,1000,30,0.2,85.68043548583984
270,GIN,256,5,0.0003,16,1000,30,0.5,80.99021667480469
271,GAT,256,5,0.0003,16,1000,30,0.2,90.82478790283203
272,GAT,256,5,0.0003,16,1000,30,0.5,91.10899536132813
273,GIN,256,5,0.0003,32,1000,30,0.2,78.66837219238282
274,GIN,256,5,0.0003,32,1000,30,0.5,75.63700378417968
275,GAT,256,5,0.0003,32,1000,30,0.2,90.77605407714844
276,GAT,256,5,0.0003,32,1000,30,0.5,90.88406494140625
277,GIN,256,5,0.001,8,1000,30,0.2,157.23892608642578
278,GIN,256,5,0.001,8,1000,30,0.5,139.29677764892577
279,GAT,256,5,0.001,8,1000,30,0.2,95.71727264404296
280,GAT,256,5,0.001,8,1000,30,0.5,94.86145904541016
281,GIN,256,5,0.001,16,1000,30,0.2,78.23761108398438
282,GIN,256,5,0.001,16,1000,30,0.5,76.80108551025391
283,GAT,256,5,0.001,16,1000,30,0.2,91.08392272949219
284,GAT,256,5,0.001,16,1000,30,0.5,93.83041748046875
285,GIN,256,5,0.001,32,1000,30,0.2,76.56078369140624
286,GIN,256,5,0.001,32,1000,30,0.5,77.42681304931641
287,GAT,256,5,0.001,32,1000,30,0.2,90.7873159790039
288,GAT,256,5,0.001,32,1000,30,0.5,91.12938903808593
289,GIN,256,6,0.0001,8,1000,30,0.2,298.319899597168
290,GIN,256,6,0.0001,8,1000,30,0.5,208.6499530029297
291,GAT,256,6,0.0001,8,1000,30,0.2,90.8730044555664
292,GAT,256,6,0.0001,8,1000,30,0.5,90.9980776977539
293,GIN,256,6,0.0001,16,1000,30,0.2,97.20581512451172
294,GIN,256,6,0.0001,16,1000,30,0.5,84.92786010742188
295,GAT,256,6,0.0001,16,1000,30,0.2,90.80573883056641
296,GAT,256,6,0.0001,16,1000,30,0.5,90.84953796386719
297,GIN,256,6,0.0001,32,1000,30,0.2,78.35746215820312
298,GIN,256,6,0.0001,32,1000,30,0.5,79.29582946777344
299,GAT,256,6,0.0001,32,1000,30,0.2,90.8036538696289
300,GAT,256,6,0.0001,32,1000,30,0.5,90.83679016113281
301,GIN,256,6,0.0003,8,1000,30,0.2,165.15815704345704
302,GIN,256,6,0.0003,8,1000,30,0.5,263.65227478027344
303,GAT,256,6,0.0003,8,1000,30,0.2,90.8859619140625
304,GAT,256,6,0.0003,8,1000,30,0.5,91.13025909423828
305,GIN,256,6,0.0003,16,1000,30,0.2,94.14296875
306,GIN,256,6,0.0003,16,1000,30,0.5,83.27193298339844
307,GAT,256,6,0.0003,16,1000,30,0.2,90.85153381347656
308,GAT,256,6,0.0003,16,1000,30,0.5,90.93576110839844
309,GIN,256,6,0.0003,32,1000,30,0.2,77.0948553466797
310,GIN,256,6,0.0003,32,1000,30,0.5,77.73065612792969
311,GAT,256,6,0.0003,32,1000,30,0.2,90.7900177001953
312,GAT,256,6,0.0003,32,1000,30,0.5,90.86011291503907
313,GIN,256,6,0.001,8,1000,30,0.2,185.37085083007813
314,GIN,256,6,0.001,8,1000,30,0.5,161.52949340820314
315,GAT,256,6,0.001,8,1000,30,0.2,91.26906951904297
316,GAT,256,6,0.001,8,1000,30,0.5,101.49508270263672
317,GIN,256,6,0.001,16,1000,30,0.2,82.38286437988282
318,GIN,256,6,0.001,16,1000,30,0.5,91.16110321044921
319,GAT,256,6,0.001,16,1000,30,0.2,90.82535461425782
320,GAT,256,6,0.001,16,1000,30,0.5,91.95290954589844
321,GIN,256,6,0.001,32,1000,30,0.2,79.353896484375
322,GIN,256,6,0.001,32,1000,30,0.5,77.11457672119141
323,GAT,256,6,0.001,32,1000,30,0.2,90.7911572265625
324,GAT,256,6,0.001,32,1000,30,0.5,91.39953430175781
